Suj;Explicaiblity;Satisfaction;Utilisability;Manip
19;Guided;64.3229;50;1
19;Unguided;63.0208;44.7917;1
19;Guided;48.6979;44.7917;1
19;Unguided;51.3021;51.3021;1
19;Guided;40.8854;30.4688;1
19;Unguided;42.1875;43.4896;1
20;Guided;65.625;66.9271;1
20;Unguided;69.5313;65.625;1
20;Guided;52.6042;60.4167;1
20;Unguided;76.0417;87.7604;1
20;Guided;83.8542;90.3646;1
20;Unguided;72.1354;89.0625;1
20;Guided;90.3646;94.2708;1
20;Unguided;91.6667;92.9688;1
20;Guided;77.3438;86.9792;1
20;Unguided;91.6667;86.9792;1
20;Guided;71.3542;70.8333;1
20;Unguided;85.6771;90.8854;1
21;Guided;9.6354;100;1
21;Unguided;51.3021;51.3021;1
21;Guided;29.1667;90.3646;1
21;Unguided;90.3646;100;1
21;Guided;13.5417;7.0313;1
21;Unguided;7.8125;7.0313;1
21;Guided;90.8854;46.0938;1
21;Unguided;23.9583;86.4583;1
21;Guided;0;69.5313;1
21;Unguided;6.5104;50;1
21;Guided;78.6458;0;1
21;Unguided;0;0;1
22;Guided;76.5625;77.3438;1
22;Unguided;64.3229;68.2292;1
22;Guided;64.3229;64.3229;1
22;Unguided;61.7188;63.0208;1
22;Guided;63.0208;60.4167;1
22;Unguided;60.4167;63.0208;1
22;Guided;94.2708;87.7604;1
22;Unguided;83.8542;87.7604;1
22;Guided;76.0417;74.7396;1
22;Unguided;76.0417;79.9479;1
22;Guided;64.3229;68.2292;1
22;Unguided;65.625;63.0208;1
23;Guided;69.5313;73.4375;1
23;Unguided;70.8333;59.1146;1
23;Guided;73.4375;65.625;1
23;Unguided;34.375;38.2813;1
23;Guided;65.625;70.8333;1
23;Unguided;38.2813;43.4896;1
23;Guided;59.1146;70.8333;1
23;Unguided;16.1458;34.375;1
23;Guided;72.1354;59.1146;1
23;Unguided;27.8646;10.9375;1
23;Guided;89.0625;83.8542;1
23;Unguided;53.9063;25.2604;1
24;Guided;44.7917;43.4896;1
24;Unguided;33.0729;38.2813;1
24;Guided;36.9792;38.2813;1
24;Unguided;42.1875;40.8854;1
24;Guided;43.4896;46.0938;1
24;Unguided;44.7917;38.2813;1
24;Guided;42.1875;44.7917;1
24;Unguided;43.4896;44.7917;1
24;Guided;44.7917;40.8854;1
24;Unguided;43.4896;46.0938;1
24;Guided;44.7917;43.4896;1
24;Unguided;43.4896;39.5833;1
25;Guided;73.4375;42.1875;1
25;Unguided;56.5104;57.8125;1
25;Guided;57.8125;34.375;1
25;Unguided;61.7188;76.0417;1
25;Guided;65.625;64.3229;1
25;Unguided;42.1875;65.625;1
25;Guided;65.625;70.8333;1
25;Unguided;64.3229;69.5313;1
25;Guided;59.1146;76.0417;1
25;Unguided;63.0208;64.3229;1
25;Guided;63.0208;74.7396;1
25;Unguided;60.4167;64.3229;1
26;Guided;44.7917;43.4896;1
26;Unguided;33.0729;38.2813;1
26;Guided;36.9792;38.2813;1
26;Unguided;42.1875;40.8854;1
26;Guided;43.4896;46.0938;1
26;Unguided;44.7917;38.2813;1
26;Guided;60.4167;69.5313;1
26;Unguided;90.3646;91.6667;1
26;Guided;63.0208;69.5313;1
26;Unguided;90.3646;95.5729;1
26;Guided;64.3229;73.4375;1
26;Unguided;89.0625;99.4792;1
27;Guided;30.4688;63.0208;1
27;Unguided;52.6042;56.5104;1
27;Guided;56.5104;59.1146;1
27;Unguided;47.3958;48.6979;1
27;Guided;46.0938;51.3021;1
27;Unguided;43.4896;53.9063;1
27;Guided;40.8854;35.6771;1
27;Unguided;38.2813;39.5833;1
27;Guided;50;43.4896;1
27;Unguided;43.4896;39.5833;1
27;Guided;44.7917;43.4896;1
27;Unguided;57.8125;53.9063;1
28;Guided;49.5833;56.5104;1
28;Unguided;44.7917;57.8125;1
28;Guided;61.7188;60.4167;1
28;Unguided;56.9271;56.5104;1
28;Guided;69.5313;66.9271;1
28;Unguided;60.4167;69.5313;1
28;Guided;59.1146;57.8125;1
28;Unguided;29.1667;44.7917;1
28;Guided;36.9792;31.7708;1
28;Unguided;86.4583;82.5521;1
28;Guided;56.5104;52.6042;1
28;Unguided;56.5104;50;1
30;Guided;92.9688;94.2708;1
30;Unguided;96.0938;95.5729;1
30;Guided;91.6667;94.2708;1
30;Unguided;94.2708;92.9688;1
30;Guided;95.5729;92.9688;1
30;Unguided;92.9688;90.3646;1
30;Guided;94.2708;92.9688;1
30;Unguided;96.0938;95.5729;1
30;Guided;96.0938;96.875;1
30;Unguided;94.7917;96.0938;1
30;Guided;95.5729;95.5729;1
30;Unguided;94.2708;94.2708;1
31;Guided;68.2292;57.8125;1
31;Unguided;51.3021;55.2083;1
31;Guided;56.5104;59.1146;1
31;Unguided;52.6042;59.1146;1
31;Guided;57.8125;56.5104;1
31;Unguided;56.5104;56.5104;1
31;Guided;59.1146;56.5104;1
31;Unguided;60.4167;56.5104;1
31;Guided;57.8125;55.2083;1
31;Unguided;57.8125;53.9063;1
31;Guided;59.1146;59.1146;1
31;Unguided;61.7188;56.5104;1
32;Guided;95.5729;96.875;1
32;Unguided;90.3646;85.1563;1
32;Guided;77.3438;79.9479;1
32;Unguided;89.0625;99.4792;1
32;Guided;68.2292;56.5104;1
32;Unguided;95.5729;98.1771;1
32;Guided;90.3646;87.7604;1
32;Unguided;79.9479;81.25;1
32;Guided;91.6667;87.7604;1
32;Unguided;83.8542;78.6458;1
32;Guided;76.0417;79.9479;1
32;Unguided;87.7604;91.6667;1
33;Guided;82.5521;100;1
33;Unguided;70.8333;74.7396;1
33;Guided;92.9688;100;1
33;Unguided;57.8125;91.6667;1
33;Guided;85.1563;100;1
33;Unguided;63.0208;64.3229;1
33;Guided;64.3229;98.1771;1
33;Unguided;57.8125;86.4583;1
33;Guided;90.3646;100;1
33;Unguided;95.5729;100;1
33;Guided;96.875;100;1
33;Unguided;100;100;1
34;Guided;21.3542;42.1875;1
34;Unguided;55.2083;64.3229;1
34;Guided;7.0313;48.6979;1
34;Unguided;85.1563;86.4583;1
34;Guided;51.3021;56.5104;1
34;Unguided;42.1875;39.5833;1
34;Guided;52.6042;61.7188;1
34;Unguided;60.4167;79.9479;1
34;Guided;61.7188;57.8125;1
34;Unguided;59.1146;66.9271;1
34;Guided;59.1146;63.0208;1
34;Unguided;61.7188;65.625;1
35;Guided;40.8854;30.4688;1
35;Unguided;64.3229;27.8646;1
35;Guided;76.0417;27.8646;1
35;Unguided;69.5313;36.9792;1
35;Guided;61.7188;38.2813;1
35;Unguided;64.3229;34.375;1
35;Guided;69.5313;51.3021;1
35;Unguided;72.1354;36.9792;1
35;Guided;65.625;35.6771;1
35;Unguided;70.8333;35.6771;1
35;Guided;64.3229;36.9792;1
35;Unguided;64.3229;38.2813;1
36;Guided;61.7188;52.6042;1
36;Unguided;47.3958;50;1
36;Guided;48.6979;46.0938;1
36;Unguided;87.7604;26.5625;1
36;Guided;38.2813;48.6979;1
36;Unguided;76.0417;50;1
36;Guided;61.7188;48.6979;1
36;Unguided;76.0417;56.5104;1
36;Guided;46.0938;53.9063;1
36;Unguided;68.2292;36.9792;1
36;Guided;51.3021;47.3958;1
36;Unguided;68.2292;33.0729;1
37;Guided;78.6458;94.2708;1
37;Unguided;83.8542;96.875;1
37;Guided;91.6667;92.9688;1
37;Unguided;98.1771;94.7917;1
37;Guided;92.9688;91.6667;1
