NumSuj;NumBloc;Level of Automation;Difficulty;System Correctness;Latence (in s);Explicability;Subject Correctness;Temporal Binding;Decision Confidence
1;3;Free;Hard;Correct;0.25;Guided;Correct;-50;8
1;3;Forced;Medium;Correct;0.25;Guided;Correct;-50;8
1;3;Forced;Hard;Correct;1.25;Guided;Correct;-250;8
1;3;Free;Easy;Correct;0.75;Guided;Correct;150;8
1;3;Forced;Easy;Correct;0.25;Guided;Correct;550;8
1;3;Forced;Easy;Correct;1.25;Guided;Correct;-250;8
1;3;Free;Easy;Correct;1.25;Guided;Correct;-750;8
1;3;Free;Hard;Correct;0.25;Guided;Correct;-50;8
1;3;Forced;Easy;Correct;0.25;Guided;Correct;150;8
1;3;Forced;Easy;Correct;0.75;Guided;Correct;-150;8
1;3;Free;Hard;Error;0.75;Guided;Correct;-50;6
1;4;Forced;Easy;Correct;0.75;Unguided;Correct;-250;8
1;4;Free;Hard;Error;0.75;Unguided;Correct;150;7
1;4;Free;Medium;Correct;0.75;Unguided;Correct;150;8
1;4;Free;Easy;Correct;0.25;Unguided;Correct;650;8
1;4;Free;Hard;Correct;0.25;Unguided;Correct;750;6
1;4;Forced;Easy;Correct;1.25;Unguided;Correct;-350;8
1;4;Forced;Hard;Correct;1.25;Unguided;Correct;-350;8
1;4;Free;Hard;Correct;1.25;Unguided;Correct;250;6
1;4;Free;Hard;Correct;1.25;Unguided;Correct;-50;7
1;4;Free;Hard;Error;0.25;Unguided;Correct;350;8
1;4;Forced;Medium;Correct;0.75;Unguided;Correct;50;8
1;4;Forced;Easy;Correct;0.25;Unguided;Correct;50;8
1;4;Free;Medium;Correct;1.25;Unguided;Correct;-250;8
1;4;Forced;Medium;Correct;0.25;Unguided;Correct;450;8
1;4;Forced;Hard;Error;0.25;Unguided;Error;50;1
1;4;Forced;Hard;Correct;0.75;Unguided;Correct;-150;8
1;4;Free;Medium;Correct;1.25;Unguided;Correct;-450;8
1;4;Forced;Hard;Correct;0.75;Unguided;Correct;-150;8
1;4;Forced;Easy;Correct;0.75;Unguided;Correct;150;8
1;4;Forced;Medium;Correct;0.25;Unguided;Correct;250;8
1;4;Free;Easy;Correct;0.25;Unguided;Correct;550;8
1;4;Forced;Hard;Correct;0.25;Unguided;Correct;450;8
1;4;Forced;Easy;Correct;1.25;Unguided;Correct;-900;8
1;4;Free;Easy;Correct;0.75;Unguided;Correct;-50;8
1;4;Free;Hard;Correct;0.75;Unguided;Correct;-50;4
1;4;Free;Easy;Correct;0.75;Unguided;Correct;450;8
1;4;Free;Easy;Correct;1.25;Unguided;Correct;-50;8
1;4;Free;Easy;Correct;1.25;Unguided;Correct;-550;8
1;4;Forced;Easy;Correct;0.25;Unguided;Correct;50;8
1;4;Forced;Medium;Correct;0.75;Unguided;Correct;-50;8
1;4;Forced;Medium;Correct;1.25;Unguided;Correct;-450;8
1;4;Free;Medium;Error;0.25;Unguided;Correct;650;8
1;4;Forced;Medium;Correct;1.25;Unguided;Correct;-350;8
1;4;Free;Medium;Correct;0.75;Unguided;Correct;250;8
1;4;Forced;Hard;Correct;1.25;Unguided;Correct;-350;8
1;4;Free;Medium;Correct;0.25;Unguided;Correct;150;8
1;5;Forced;Hard;Correct;1.25;Guided;Correct;-350;8
1;5;Forced;Easy;Correct;1.25;Guided;Correct;-450;8
1;5;Forced;Medium;Correct;0.25;Guided;Correct;700;8
1;5;Forced;Medium;Correct;0.75;Guided;Correct;50;8
1;5;Forced;Medium;Correct;0.75;Guided;Correct;250;8
1;5;Free;Hard;Error;1.25;Guided;Correct;-50;4
1;5;Forced;Medium;Correct;1.25;Guided;Correct;-50;8
