Suj;Explicability;Satisfaction;Utilisability;Manip
26;Unguided;60.4167;42.1875;2
26;Guided;60;39.5583;2
26;Unguided;71.2292;73.8333;2
27;Guided;87.7604;76.0417;2
27;Unguided;33.0729;39.5833;2
27;Guided;89.0625;86.4583;2
27;Unguided;26.5625;40.8854;2
27;Guided;90.3646;91.6667;2
27;Unguided;76.0417;70.8333;2
27;Guided;92.9688;87.7604;2
27;Unguided;89.0625;73.4375;2
27;Guided;92.9688;94.2708;2
27;Unguided;91.6667;69.5313;2
27;Guided;90.3646;92.9688;2
27;Unguided;83.8542;79.9479;2
28;Guided;46.0938;0;2
28;Unguided;18.75;0;2
28;Guided;9.6354;0;2
28;Unguided;0;0;2
28;Guided;0;0;2
28;Unguided;0;0;2
28;Guided;7.8125;0;2
28;Unguided;59.1146;55.2083;2
28;Guided;69.5313;53.9063;2
28;Unguided;59.1146;55.2083;2
28;Guided;57.8125;52.6042;2
28;Unguided;57.8125;40.8854;2
29;Guided;64.3229;90.3646;2
29;Unguided;36.9792;69.5313;2
29;Guided;48.6979;68.2292;2
29;Unguided;59.1146;83.8542;2
29;Guided;50;53.9063;2
29;Unguided;50;70.8333;2
29;Guided;44.7917;50;2
29;Unguided;44.7917;50;2
29;Guided;43.4896;43.4896;2
29;Unguided;42.1875;42.1875;2
29;Guided;44.7917;44.7917;2
29;Unguided;44.7917;44.7917;2
30;Guided;46.0938;43.4896;2
30;Unguided;48.6979;53.9063;2
30;Guided;47.3958;64.3229;2
30;Unguided;53.9063;53.9063;2
30;Guided;48.3958;53.9063;2
30;Unguided;53.9063;64.3229;2
30;Guided;81.25;66.9271;2
30;Unguided;57.8125;52.6042;2
30;Guided;70.8333;74.7396;2
30;Unguided;65.625;60.4167;2
30;Guided;55.2083;57.8125;2
30;Unguided;79.9479;56.5104;2
31;Guided;74.7396;85.1563;2
31;Unguided;89.0625;85.1563;2
31;Guided;94.2708;91.6667;2
31;Unguided;94.2708;82.5521;2
31;Guided;60.4167;68.2292;2
31;Unguided;63.0208;60.4167;2
31;Guided;95.5729;96.0938;2
31;Unguided;22.6563;31.7708;2
31;Guided;76.0417;83.8542;2
31;Unguided;31.7708;40.8854;2
31;Guided;66.9271;74.7396;2
31;Unguided;35.6771;34.375;2
33;Guided;81.25;92.9688;2
33;Unguided;68.2292;68.2292;2
33;Guided;63.0208;78.6458;2
33;Unguided;92.9688;96.0938;2
33;Guided;85.1563;95.5729;2
33;Unguided;50;50;2
33;Guided;52.6042;61.7188;2
33;Unguided;43.4896;21.3542;2
33;Guided;72.1354;87.7604;2
33;Unguided;78.6458;90.3646;2
33;Guided;34.375;18.75;2
33;Unguided;40.8854;51.3021;2
34;Guided;92.9688;65.625;2
34;Unguided;94.2708;69.5313;2
34;Guided;56.5104;39.5833;2
34;Unguided;46.0938;51.3021;2
34;Guided;65.625;43.4896;2
34;Unguided;53.9063;40.8854;2
34;Guided;53.9063;65.625;2
34;Unguided;69.5313;52.6042;2
34;Guided;69.5313;60.4167;2
34;Unguided;63.0208;53.9063;2
34;Guided;61.7188;53.9063;2
34;Unguided;66.9271;26.5625;2
35;Guided;77.8646;84.375;2
35;Unguided;74.7396;30.4688;2
35;Guided;82.5521;27.8646;2
35;Unguided;68.2292;55.2083;2
35;Guided;69.5313;53.9063;2
35;Unguided;87.7604;68.2292;2
35;Guided;72.1354;62.2396;2
35;Unguided;91.6667;87.7604;2
35;Guided;42.1875;23.9583;2
35;Unguided;85.6771;81.25;2
35;Guided;36.4583;17.4479;2
35;Unguided;73.4375;73.4375;2
36;Guided;91.6667;77.3438;2
36;Unguided;53.9063;56.5104;2
36;Guided;73.4375;59.1146;2
36;Unguided;85.1563;82.5521;2
36;Guided;89.0625;82.5521;2
36;Unguided;70.8333;85.1563;2
36;Guided;100;100;2
36;Unguided;100;100;2
36;Guided;83.8542;58.3333;2
36;Unguided;90.3646;83.8542;2
36;Guided;92.9688;77.8646;2
36;Unguided;72.1354;83.8542;2
37;Guided;76.0417;91.6667;2
37;Unguided;90.3646;39.5833;2
37;Guided;56.5104;79.9479;2
37;Unguided;83.8542;30.4688;2
37;Guided;66.9271;83.8542;2
37;Unguided;38.2813;38.2813;2
37;Guided;36.9792;40.8854;2
37;Unguided;59.1146;35.6771;2
