NumSuj;NumBloc;Level of Automation;Difficulty;System Correctness;Latence (in s);Explicability;Subject Correctness;Type of Control;Temporal Binding (in ms);Score of Control
1;3;Forced;Hard;Correct;0.25;Guided;Correct;Used;1250;6
1;3;Free;Medium;Correct;0.75;Guided;Correct;Used;249;4
1;3;Free;Hard;Correct;1.25;Guided;Correct;Used;-695;5
1;3;Forced;Easy;Correct;1.25;Guided;Correct;Used;-139;5
1;3;Forced;Medium;Correct;0.75;Guided;Correct;Used;251;5
1;3;Forced;Hard;Error;0.75;Guided;Error;Used;650;6
1;3;Free;Medium;Correct;0.75;Guided;Correct;Used;47;6
1;3;Free;Hard;Error;0.75;Guided;Error;Used;750;6
1;3;Free;Easy;Correct;0.25;Guided;Correct;Used;1150;5
1;3;Forced;Easy;Correct;1.25;Guided;Correct;Used;-572;5
1;3;Free;Easy;Correct;0.25;Guided;Correct;Used;540;6
1;3;Forced;Hard;Correct;0.25;Guided;Correct;Used;850;6
1;3;Forced;Medium;Correct;0.25;Guided;Correct;Used;1150;5
1;3;Forced;Medium;Correct;1.25;Guided;Correct;Used;250;5
1;3;Free;Medium;Error;1.25;Guided;Error;Used;250;5
1;3;Free;Easy;Correct;1.25;Guided;Correct;Used;-50;6
1;3;Free;Medium;Correct;0.25;Guided;Correct;Used;1185;5
1;3;Forced;Hard;Correct;0.75;Guided;Correct;Used;351;5
1;3;Forced;Hard;Error;1.25;Guided;Error;Used;-50;6
1;3;Free;Medium;Correct;1.25;Guided;Correct;Used;-260;4
1;3;Forced;Easy;Correct;0.25;Guided;Correct;Used;1040;6
1;4;Forced;Easy;Correct;0.75;Unguided;Correct;Felt;240;6
1;4;Free;Easy;Correct;1.25;Unguided;Correct;Felt;-583;5
1;4;Free;Medium;Correct;0.25;Unguided;Error;Felt;950;6
1;4;Free;Medium;Correct;1.25;Unguided;Correct;Felt;-750;3
1;4;Free;Easy;Correct;0.25;Unguided;Correct;Felt;950;4
1;4;Forced;Medium;Correct;1.25;Unguided;Correct;Felt;250;4
1;4;Free;Hard;Correct;1.25;Unguided;Correct;Felt;250;5
1;4;Free;Medium;Error;0.75;Unguided;Error;Felt;700;5
1;4;Forced;Medium;Correct;0.25;Unguided;Correct;Felt;750;5
1;4;Forced;Medium;Correct;0.75;Unguided;Correct;Felt;251;6
1;4;Free;Hard;Correct;1.25;Unguided;Correct;Felt;250;5
1;4;Forced;Medium;Correct;1.25;Unguided;Correct;Felt;50;4
1;4;Free;Hard;Correct;0.75;Unguided;Error;Felt;249;4
1;4;Free;Medium;Correct;0.75;Unguided;Correct;Felt;-190;6
1;4;Forced;Medium;Correct;0.25;Unguided;Correct;Felt;850;5
1;4;Forced;Hard;Correct;0.75;Unguided;Correct;Felt;461;6
1;4;Free;Easy;Correct;0.75;Unguided;Correct;Felt;361;4
1;4;Forced;Hard;Error;0.25;Unguided;Error;Felt;528;5
1;4;Free;Medium;Correct;0.25;Unguided;Error;Felt;420;6
1;4;Free;Medium;Correct;1.25;Unguided;Error;Felt;-39;4
1;4;Forced;Hard;Correct;1.25;Unguided;Correct;Felt;-250;5
