NumSuj;Explicability;Difficulty;Level of Automation;Correct Rates (in %)
7;Guided;Medium;Forced;95
8;Guided;Medium;Forced;95
9;Guided;Medium;Forced;95
10;Guided;Medium;Forced;95
11;Guided;Medium;Forced;95
12;Guided;Medium;Forced;95
13;Guided;Medium;Forced;95
14;Guided;Medium;Forced;95
15;Guided;Medium;Forced;95
16;Guided;Medium;Forced;95
17;Guided;Medium;Forced;95
18;Guided;Medium;Forced;95
19;Guided;Medium;Forced;95
20;Guided;Medium;Forced;95
21;Guided;Medium;Forced;95
22;Guided;Medium;Forced;95
23;Guided;Medium;Forced;95
24;Guided;Medium;Forced;95
25;Guided;Medium;Forced;95
26;Guided;Medium;Forced;95
27;Guided;Medium;Forced;95
28;Guided;Medium;Forced;95
29;Guided;Medium;Forced;95
30;Guided;Medium;Forced;95
31;Guided;Medium;Forced;95
32;Guided;Medium;Forced;95
33;Guided;Medium;Forced;95
34;Guided;Medium;Forced;95
35;Guided;Medium;Forced;95
36;Guided;Medium;Forced;95
37;Guided;Medium;Forced;95
38;Guided;Medium;Forced;95
39;Guided;Medium;Forced;95
1;Guided;Hard;Forced;75
2;Guided;Hard;Forced;75
3;Guided;Hard;Forced;75
4;Guided;Hard;Forced;75
5;Guided;Hard;Forced;75
6;Guided;Hard;Forced;75
7;Guided;Hard;Forced;75
8;Guided;Hard;Forced;75
9;Guided;Hard;Forced;75
10;Guided;Hard;Forced;75
11;Guided;Hard;Forced;75
12;Guided;Hard;Forced;75
13;Guided;Hard;Forced;75
14;Guided;Hard;Forced;75
15;Guided;Hard;Forced;75
16;Guided;Hard;Forced;75
17;Guided;Hard;Forced;75
18;Guided;Hard;Forced;75
19;Guided;Hard;Forced;75
20;Guided;Hard;Forced;75
21;Guided;Hard;Forced;75
22;Guided;Hard;Forced;75
23;Guided;Hard;Forced;75
24;Guided;Hard;Forced;75
25;Guided;Hard;Forced;75
26;Guided;Hard;Forced;75
27;Guided;Hard;Forced;75
